,type,location,price,area,link
101,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo","2,477,568",144 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-3435331.html
102,Apartment,"Cairo Festival City, North Investors Area, New Cairo City, Cairo","6,250,000",200 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-north-investors-area-cairo-festival-city-3366822.html
103,Apartment,"El Patio 7, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","5,300,000",165 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-el-patio-7-3413374.html
104,Apartment,"La Fontaine Province, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3,463,793",142 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-la-fontaine-province-3348049.html
105,Apartment,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","241,000",144 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-sarai-3351201.html
106,Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","5,200,000",191 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-residence-3400339.html
107,Apartment,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","1,830,000",150 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-taj-city-3434371.html
108,Penthouse,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","6,800,000",272 ,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-residence-3431246.html
109,Apartment,"Galleria Residences, South Investors Area, New Cairo City, Cairo","1,580,000",125 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-south-investors-area-galleria-residences-3336278.html
110,Apartment,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","283,000",165 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-sarai-3367520.html
111,Villa,"Cairo Festival City, North Investors Area, New Cairo City, Cairo","11,750,000",323 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-north-investors-area-cairo-festival-city-3392133.html
112,Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2,771,000",170 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-3335710.html
113,Apartment,"De Joya, New Capital Compounds, New Capital City, Cairo","2,790,000",145 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-3188224.html
114,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","1,212,703",187 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-3285558.html
115,Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2,800,000",142 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-residence-3412914.html
116,Apartment,"Fifth Square, North Investors Area, New Cairo City, Cairo","2,915,000",90 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-north-investors-area-fifth-square-3413989.html
117,Apartment,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","1,900,000",130 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-taj-city-3432637.html
118,iVilla,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3,600,000",218 ,https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-3410998.html
119,Townhouse,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Askforprice,226 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-3369597.html
120,Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","1,700,000",505 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-3420764.html
121,Apartment,"North Lotus, El Lotus, New Cairo City, Cairo","1,525,000",179 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-el-lotus-north-lotus-2970731.html
122,Apartment,"Cairo Festival City, North Investors Area, New Cairo City, Cairo","6,598,000",160 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-north-investors-area-cairo-festival-city-3336004.html
123,Apartment,"Capital Gardens   Palm Hills, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","2,450,000",168 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-capital-gardens-palm-hills-3405161.html
124,Villa,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","20,000,000",800 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-2996435.html
125,Apartment,"HAP Town, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","2,570,200",168 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-hap-town-3403559.html
126,Twin House,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","13,500,000",309 ,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-3429180.html
127,Villa,"Vinci, New Capital Compounds, New Capital City, Cairo","364,000",309 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-vinci-3407486.html
128,Penthouse,"Fifth Square, North Investors Area, New Cairo City, Cairo","4,700,000",187 ,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-new-cairo-city-north-investors-area-fifth-square-3423047.html
129,Apartment,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo","1,600,000",153 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-south-investors-area-galleria-moon-valley-3407974.html
130,Apartment,"De Joya, New Capital Compounds, New Capital City, Cairo","268,000",180 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-3380468.html
131,Villa,"Vinci, New Capital Compounds, New Capital City, Cairo","300,000",253 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-vinci-3400697.html
132,Villa,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4,300,000",147 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-taj-city-3418089.html
133,Apartment,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2,700,000",120 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-el-patio-oro-3401872.html
134,Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","1,200,000",315 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-3420728.html
135,Apartment,"Cairo Festival City, North Investors Area, New Cairo City, Cairo","6,500,000",210 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-north-investors-area-cairo-festival-city-3193632.html
136,Villa,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo","48,300,000",900 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-katameya-heights-3412413.html
137,Apartment,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2,000,000",155 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-stone-residence-3404553.html
138,Villa,"Cairo Festival City, North Investors Area, New Cairo City, Cairo","30,000,000",800 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-north-investors-area-cairo-festival-city-3343274.html
139,Apartment,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","1,850,000",164 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-sarai-3406661.html
